"id","sku","url","date","price","is_instant"
1607164,"3629a0213f314f4b9f9193c618ecf1dd",https://jajooreh.com/residence/villa-kordan-with-a-swimming-pool-on-the-roof-of-the-spa/,"1403/10/25",4990000.00,false
1607289,"013d0b574dca415a8cb924ec72a09d92",https://jajooreh.com/residence/furnished-suite-for-rent-in-taksim-near-esteghlal/,"1403/10/30",2800000.00,false
1602471,"74d4342190974172be3ce08facaa153f",https://jajooreh.com/residence/rent-a-4-bedroom-villa-with-a-pool-in-rodhen/,"1403/10/22",4450000.00,false
1602481,"74d4342190974172be3ce08facaa153f",https://jajooreh.com/residence/rent-a-4-bedroom-villa-with-a-pool-in-rodhen/,"1403/10/30",4450000.00,false
1603173,"0e527cdf192244088587f99278889e98",https://jajooreh.com/residence/renting-a-villa-with-a-spa-pool-in-soheiliyeh/,"1403/10/10",1500000.00,false
1603462,"9261405471e54dd684cdd6b858c479fd",https://jajooreh.com/residence/2-bedroom-apartment-hotel-for-rent-in-istanbul/,"1403/10/11",11000000.00,false
1603752,"3993d765e6d04d93b74e6a1fcddda93d",https://jajooreh.com/residence/villa-for-rent-in-modern-kurdan-with-spa-pool-and-billiards/,"1403/10/08",4900000.00,false
1604036,bc79760ca78d4e7182e7746eb74748fd,https://jajooreh.com/residence/villa-with-pool-for-rent-in-soheiliyeh/,"1403/10/08",2000000.00,false
1604043,bc79760ca78d4e7182e7746eb74748fd,https://jajooreh.com/residence/villa-with-pool-for-rent-in-soheiliyeh/,"1403/10/20",3000000.00,false
1604049,bc79760ca78d4e7182e7746eb74748fd,https://jajooreh.com/residence/villa-with-pool-for-rent-in-soheiliyeh/,"1403/10/25",3500000.00,false
1604318,afb99424050b48ccac2fe9925d68999b,https://jajooreh.com/residence/villa-for-rent-in-mahmudabad-with-indoor-pool/,"1403/10/02",5200000.00,false
1604319,afb99424050b48ccac2fe9925d68999b,https://jajooreh.com/residence/villa-for-rent-in-mahmudabad-with-indoor-pool/,"1403/10/12",6000000.00,false
